rule,file_line,resolved_value_now,label,report_line_grounding,live_effect,conforms,drift_detail,production_callers
D6b transition_standdown reads plan bias to REFUSE,trader/auto_trader_transition.go:51 -> kernel/engine_position.go:274-279,"ON cap=45min (boot line 'regime ledger: ... transition_standdown=ON cap=45min')",O,2026-09-02-live-bias-replay.md:161-162 ('nothing changes nothing is promoted to a gate'),gate (REJECT: returns an error + telemetry.IncGateBlock 'transition_standdown'),NO,"replay report says nothing is promoted to a gate; live: a gate DOES read Bias.Direction to refuse. Measured: 9 TRANSITION OPENED and 0 TRANSITION STAND-DOWN refusals across 20 log files 2026-08-16..2026-09-04",2 (kernel/engine_position.go:275; trader/auto_trader_transition.go:119)
D6b entry_gate leg 1 bias-vs-side REJECT,trader/entry_gate.go:179-184,"INACTIVE — requires plan_mode=='direction'; resolved plan_mode='strict' (strategies.config day_plan.plan_mode for trader 8d5c8af5_...deepseek_1781246265 strategy a5b7662e; no session override) via store/resolve_source.go:47-55",M,2026-09-02-live-bias-replay.md:161-162,gate but INACTIVE at the resolved plan_mode,yes (vacuously),"the rule exists and would REJECT on bias if plan_mode were flipped to direction",1 (trader/entry_gate.go:454 EntryGate)
D6b armed_executor plan_mode=direction bias check,trader/armed_executor.go:1331-1336,"INACTIVE — same plan_mode=strict",M,same,gate but INACTIVE,yes (vacuously),,1 (trader/armed_executor.go:430)
D6b planModeBlocked direction branch,trader/auto_trader_planconfig.go:209-217,"INACTIVE — plan_mode=strict takes the :218 branch (citation match)",M,same,gate but INACTIVE,yes (vacuously),,1 (trader/auto_trader_orders.go:297)
D6b flip-fired required bias,trader/auto_trader_planner.go:1635-1642,"active whenever a prior plan's flip fired",O,2026-08-25 P0.4-G comment in code; no research report,REJECT of the PLAN DOC at write (not of a trade),yes,"reads bias to reject a re-plan whose direction contradicts an already-fired flip — mechanics not belief",1 (inline in the planner write loop)
D6b BiasArmWarning (D2 arms-follow-bias),kernel/arms_bias_coherent.go:74-123,"NOT RESOLVED — never executed",O,kernel/arms_bias_coherent.go:9-16 quotes the owner ruling 2026-09-04 and its measurement (171 stored directional plans; a hard reject would refuse 50/68 longs and 66/103 shorts),DEAD — boot line advertises 'bias-coherent=warn' but nothing emits it,NO,"boot 'arms: bias-coherent=warn' is a hardcoded literal at trader/arms_boot_line.go:21; 0 warnings in 20 log files (grep '⚠ bias=' = 0)",0 — DEAD (kernel/arms_bias_coherent_warn_test.go + kernel/arms_bias_coherent_test.go only)
D6b ArmableConditionsLine (D1 arms-follow-bias),kernel/arms_bias_coherent.go:41,"live — derived from ResolvedConditionStatuses",O,same owner ruling (code header lines 38-40),prompt text (advisory),yes,,1 (kernel/planner_prompt.go:731)
D6c bias tree rendered to the model,kernel/planner_prompt.go:134-210 (RenderBiasTree) called at :613,"6 branches + computed PDH/PDL/PDC + dealing-range position + 'facts match branch N'",X,2026-09-02-live-bias-replay.md:161-162 ('they are rendered as facts not orders'),advisory prompt text (branch 5 enforced NOWHERE in the futures path),NO,"report says facts not orders; the live header at :157 says 'your reasoning MUST state the branch you took' and branch 5 at :162 says 'longs ONLY below the 50% mark ... shorts ONLY above it', with :183-189 printing 'longs disallowed by branch 5'. Instruction grammar, not fact grammar",1 (kernel/planner_prompt.go:613)
D6b/c dual bias label,kernel/planner_prompt.go:269-280 (BiasLabelLine) rendered at :618-619,"'bias: AI yours · tree <x> · regime <y> — labels only, no MUST on either'",O,2026-09-02-live-bias-replay.md:160-161 ('the plan bias is a label not a direction'),label,yes,"live-stamped on 23 of 249 non-WEEKLY plan rows (every plan since the class-50b boot); AI==tree on 17/23",3 (kernel/planner_prompt.go:618 prompt; trader/auto_trader_planner.go:1927 stamp; api/handler_plan.go:682 payload)
D6b executor prompt bias line is SINGLE-source,kernel/plan_render.go:157 via kernel/engine_analysis.go:465,"'Bias: <dir> (<conviction>) · flips: <prose>' — no tree leg, no regime leg",X,2026-09-02-live-bias-replay.md:160-161 (the class-50b intent: no single source reads as truth),label (advisory; the block header at :156 explicitly permits off-plan),NO,"the dual label reaches the PLANNER prompt, the stored doc and the API — but NOT the executor prompt, which still shows the AI direction alone",3 (kernel/engine_analysis.go:465; api/handler_plan.go:1343; api/handler_plan.go:2153)
