id,trader_id,trade_date,session,prompt_hash,attempt,reject_reason,created_at,family
110,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,ASIA,9907d1d42841,2,S2 breakdown_continue: a close came back across 29141.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-03 01:58:23.970399044+00:00,continuation_void
111,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,ASIA,1c0f83f55dee,1,S4 breakdown_continue: a close came back across 29132.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-03 02:29:06.627854454+00:00,continuation_void
112,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,ASIA,5f8346adbf18,1,"scenario[1].confirm2.rule ""1m_mss"" not allowed for breakdown_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7); 2x5m_close legal ONLY here",2026-09-03 02:44:50.070835612+00:00,confirmation_vocabulary
113,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,ASIA,5f8346adbf18,2,S2 breakdown_continue: a close came back across 29132.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-03 02:46:34.08408331+00:00,continuation_void
114,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,ASIA,71c5cb5aa4be,1,"S3 breakdown_continue: measured displacement 0.00 pts < BD_MIN_DISP_ATR 1.0×ATR5m (15.2 pts) — not a displacement move, author a normal `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)",2026-09-03 05:07:05.001164352+00:00,continuation_displacement_zero
115,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-02,ASIA,9322ee32c106,1,"S2 breakdown_continue: measured displacement 0.00 pts < BD_MIN_DISP_ATR 1.0×ATR5m (21.5 pts) — not a displacement move, author a normal `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)",2026-09-03 05:33:15.599192784+00:00,continuation_displacement_zero
116,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-03,ASIA,2e0efe55ea15,1,"gap-up at 29622.25 (> PDH 29601.00): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below",2026-09-04 05:37:17.294777906+00:00,gap_up
117,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-04,LONDON,a1f0074479ec,1,"S2 breakdown_continue: measured displacement 0.00 pts < BD_MIN_DISP_ATR 1.0×ATR5m (34.7 pts) — not a displacement move, author a normal `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)",2026-09-04 12:52:37.160447359+00:00,continuation_displacement_zero
118,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-04,NY,f4c76d6a280d,1,"scenario[0].confirm2.rule ""touch"" not allowed for breakdown_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7); 2x5m_close legal ONLY here",2026-09-04 13:07:20.964657245+00:00,confirmation_vocabulary
119,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-04,NY,f4c76d6a280d,2,"S1 breakdown_continue: the tape shows NO confirming close beyond 29481.50 yet (1 confirming close(s) needed — BD_MIN_CLOSES, displacement + reclaim-check unchanged) — author it only after the displacement exists (or set entry_mode=immediate and accept the confirming-close trigger)",2026-09-04 13:09:03.858539457+00:00,continuation_missing_close
120,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-04,NY,f4c76d6a280d,3,S1 arm requires entry_mode=pullback (immediate-mode entries are AI-path only),2026-09-04 13:11:45.602575556+00:00,arm_requires_pullback
121,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-04,LONDON,f341b04bbf48,1,"S2 breakdown_continue: the tape shows NO confirming close beyond 29481.50 yet (1 confirming close(s) needed — BD_MIN_CLOSES, displacement + reclaim-check unchanged) — author it only after the displacement exists (or set entry_mode=immediate and accept the confirming-close trigger)",2026-09-04 13:25:34.473894771+00:00,continuation_missing_close
122,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-04,LONDON,f341b04bbf48,2,S2 arm requires entry_mode=pullback (immediate-mode entries are AI-path only),2026-09-04 13:28:32.704571189+00:00,arm_requires_pullback
123,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-04,NY,abd391d524ba,1,"gap-up at 29607.75 (> PDH 29601.00): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below",2026-09-04 13:41:25.949209682+00:00,gap_up
124,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-04,NY,fb7e2b4e28af,1,"S2 breakdown_continue: the tape shows NO confirming close beyond 29481.50 yet (1 confirming close(s) needed — BD_MIN_CLOSES, displacement + reclaim-check unchanged) — author it only after the displacement exists (or set entry_mode=immediate and accept the confirming-close trigger)",2026-09-04 14:37:05.828372965+00:00,continuation_missing_close
125,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-04,NY,fb7e2b4e28af,2,S2 arm requires entry_mode=pullback (immediate-mode entries are AI-path only),2026-09-04 14:37:52.847399275+00:00,arm_requires_pullback
126,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-04,NY,fb7e2b4e28af,3,"S2 breakdown_continue: measured displacement 0.00 pts < BD_MIN_DISP_ATR 1.0×ATR5m (40.9 pts) — not a displacement move, author a normal `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)",2026-09-04 14:43:31.398312564+00:00,continuation_displacement_zero
127,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-04,NY,9bf9ab3392bf,1,"S1 breakdown_continue: the tape shows NO confirming close beyond 29481.50 yet (1 confirming close(s) needed — BD_MIN_CLOSES, displacement + reclaim-check unchanged) — author it only after the displacement exists (or set entry_mode=immediate and accept the confirming-close trigger)",2026-09-04 15:00:52.329703824+00:00,continuation_missing_close
128,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-04,NY,9bf9ab3392bf,2,S1 arm requires entry_mode=pullback (immediate-mode entries are AI-path only),2026-09-04 15:01:35.348812693+00:00,arm_requires_pullback
129,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-04,NY,9bf9ab3392bf,3,"S2 breakdown_continue: measured displacement 0.00 pts < BD_MIN_DISP_ATR 1.0×ATR5m (37.3 pts) — not a displacement move, author a normal `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)",2026-09-04 15:05:36.434197573+00:00,continuation_displacement_zero
130,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-04,NY,506c518a07b5,1,"S1 breakdown_continue: the tape shows NO confirming close beyond 29481.50 yet (1 confirming close(s) needed — BD_MIN_CLOSES, displacement + reclaim-check unchanged) — author it only after the displacement exists (or set entry_mode=immediate and accept the confirming-close trigger)",2026-09-04 15:30:39.920532388+00:00,continuation_missing_close
131,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-04,NY,506c518a07b5,2,S1 arm requires entry_mode=pullback (immediate-mode entries are AI-path only),2026-09-04 15:31:36.005141577+00:00,arm_requires_pullback
132,8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2026-09-04,NY,506c518a07b5,3,"S2 breakdown_continue: measured displacement 0.00 pts < BD_MIN_DISP_ATR 1.0×ATR5m (36.1 pts) — not a displacement move, author a normal `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)",2026-09-04 15:34:21.28301676+00:00,continuation_displacement_zero
