id,trade_date,session,attempt,reject_reason,created_at,prompt_shape,sha256
83,2026-09-01,ASIA,3,S4 breakdown_continue: a close came back across 29047.75 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-02 02:14:51.999313692+00:00,full,4787a75b4b4c984bc89a1588cf26ddfaef8ddda23c99709e6731a4a295e1f5d1
84,2026-09-01,ASIA,1,"arm on S1 needs EXACTLY 2 legs (split contract), got 1",2026-09-02 02:44:29.846250866+00:00,full,2fc284e847db8b743e635b1b6b8feea6ca2826441519326426dcc1400e763ffc
85,2026-09-01,ASIA,2,arm on S1 top-level entry/stop/target must equal leg 1's (legacy readers read the top-level),2026-09-02 02:47:23.166586498+00:00,repair,87197378b8bfac7b67a2310a758df4ad15a4002a8c4b270705c3c25daceee47c
86,2026-09-01,ASIA,3,arm on S1 leg 2 must chain (wait_confirm true) on its confirm rule,2026-09-02 02:53:46.214997939+00:00,full,b56bdea4427f740c29e39f1fac3ca82dc08223abb15c8a7a4e1915e9e6a3f2ce
87,2026-09-01,ASIA,1,still failed after 2 retries: stream interrupted: unexpected EOF,2026-09-02 04:47:33.214108988+00:00,full,7d2cab340f2e1e5a564eaf5888ae6dfde288c74824c20af1c3022855d9819fa6
88,2026-09-01,ASIA,2,S3 breakup_continue: a close came back across 29068.05 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-02 04:55:06.862471759+00:00,full,5c7e557d62d32f56a3c4d16e2e012b4964f8b9bbd9eb842a2bed69bf54c8d3a6
89,2026-09-01,ASIA,1,"still failed after 2 retries: API error (status 503): {""error"":{""message"":""Server Overloaded"",""type"":""service_unavailable_error"",""param"":null,""code"":""service_unavailable_error""}}",2026-09-02 06:15:50.866011681+00:00,full,9627ea81feed92affac091e29e185f13b02b6821a3db63adf93561a16fc3a592
90,2026-09-01,ASIA,2,"still failed after 2 retries: API error (status 503): {""error"":{""message"":""Server Overloaded"",""type"":""service_unavailable_error"",""param"":null,""code"":""service_unavailable_error""}}",2026-09-02 06:15:53.856486795+00:00,full,6c426cc5e76380dccc4d067b6f95b646474d746151870cf845d9e65a35b23fb4
91,2026-09-01,ASIA,3,"still failed after 2 retries: API error (status 503): {""error"":{""message"":""Server Overloaded"",""type"":""service_unavailable_error"",""param"":null,""code"":""service_unavailable_error""}}",2026-09-02 06:15:57.061892751+00:00,full,6c426cc5e76380dccc4d067b6f95b646474d746151870cf845d9e65a35b23fb4
92,2026-09-02,LONDON,1,S1 breakdown_continue: a close came back across 29021.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-02 06:32:54.270889137+00:00,full,ae539d43b6ceb595af35bf35c30534b3c62538c0105a38dbfd9162a3e28b3838
93,2026-09-02,LONDON,2,"scenario[0].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level (limit), stop behind structure by ≥2 ticks)",2026-09-02 06:35:04.64773277+00:00,repair,4ebf14abdffdfa7588b6d756d538dd9cddd85dadc7ac326a72b1fdf3e8df1949
94,2026-09-02,LONDON,3,S2 breakdown_continue: a close came back across 29021.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-02 06:37:44.932552231+00:00,full,3ddd7a60b87a0ce1c216540cbfd494cca106808e161a8d8bbe619b349c4fc3d7
95,2026-09-02,NY,1,S4 broken level 29001.75 is 168.0 pts from price 29169.75 (> 5.0×ATR5m=119.4 — the retest is unreachable; author a nearer broken level),2026-09-02 17:57:32.340532114+00:00,full,d92be16cc6c9d943a00d71bd12a7ad84058f91099235ae59f80ea7c9388c9649
96,2026-09-02,NY,2,S4 breakdown_continue: a close came back across 29058.75 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-02 18:00:14.040648259+00:00,repair,72e56bb5460e867ed3ede78abaf1217b7c2515f99a76b172b612b40d89692f3d
97,2026-09-02,NY,1,too many levels: 13 (max 12),2026-09-02 18:56:32.05844239+00:00,full,6e556957b04ca6b3273ba6d1fada1b7784a73ba90a24f822902e069e334b7e1b
98,2026-09-02,NY,1,S2 breakdown_continue: a close came back across 29167.66 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-02 19:22:33.240975743+00:00,full,b2117827af90f1080e6996e2906fe50ede93434129caec61759679263e8d44a5
99,2026-09-02,NY,2,"scenario[1].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level (limit), stop behind structure by ≥2 ticks)",2026-09-02 19:23:37.849978459+00:00,repair,b6e137333ba4ed21102efa9b9f2e410c2a825207f16758754f58e942ae46106b
100,2026-09-02,NY,3,S3 breakdown_continue: a close came back across 29109.65 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-02 19:25:17.058558805+00:00,full,a1ace790ea78deef32580ddb67a240e9e2cf56628b487b84cf64810ba65fbfe3
101,2026-09-02,ASIA,1,S3 breakdown_continue: a close came back across 29149.00 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-02 23:00:42.373653348+00:00,full,1ed2e2e2016ceff9862116d533e379129d06a8617fe2994ed662fa2b1583119f
102,2026-09-02,ASIA,1,S4 breakdown_continue: a close came back across 29149.00 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-02 23:13:41.032929248+00:00,full,9dfa5cd10cf8d076437e5309756443305dd17141e67563f3293b45fdbecdf845
103,2026-09-02,ASIA,1,S3 breakdown_continue: a close came back across 29149.00 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-02 23:38:26.345870526+00:00,full,604cdbe955790d44fe2da07dcd748c6a58ecfb5ff9df363403650e1f9d6e15c4
104,2026-09-02,ASIA,2,"scenario[2].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level (limit), stop behind structure by ≥2 ticks)",2026-09-02 23:39:44.072010617+00:00,repair,85bdebf5052a729c78356c41763ca6d474318d2ea7c6852aad0e9b15388da354
105,2026-09-02,ASIA,1,S2 breakdown_continue: a close came back across 29141.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-03 00:35:00.100535207+00:00,full,50f676a2ef958049d9bb553a6faabe9f95cf508b367cca3e85143c71491e908c
106,2026-09-02,ASIA,2,"scenario[1].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level (limit), stop behind structure by ≥2 ticks)",2026-09-03 00:35:38.308869498+00:00,repair,faa60d0e30e4cc13aa1cea11febb9a1185b35c93094c439133a7b6da6fec5d46
107,2026-09-02,ASIA,3,S2 breakdown_continue: a close came back across 29141.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-03 00:38:17.296230867+00:00,full,c7bc45bb3e48c789ae6ec5211ccd0e52dd9f9e5a648a2b44925ab0e4e086d511
108,2026-09-02,ASIA,1,S2 breakdown_continue: a close came back across 29141.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-03 01:03:55.812458031+00:00,full,4b89dcd03e7847243e6725ea4e53f79acaf89952b39f8fd9f0bd9f56f6fa60de
109,2026-09-02,ASIA,1,S2 breakdown_continue: a close came back across 29176.29 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-03 01:36:47.044612667+00:00,full,60f666c27c9fbf6fd59b3d010b53154cd310da465321dc5a14fabd78411f8c89
110,2026-09-02,ASIA,2,S2 breakdown_continue: a close came back across 29141.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-03 01:58:23.970399044+00:00,full,9907d1d428419c4659342114d6e27c46bf4217aa87253880d6a13a2c419a746f
111,2026-09-02,ASIA,1,S4 breakdown_continue: a close came back across 29132.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-03 02:29:06.627854454+00:00,full,1c0f83f55deed199e1519da24473f2906ab81777c44e19331fcb9d1d2bb655d6
112,2026-09-02,ASIA,1,"scenario[1].confirm2.rule ""1m_mss"" not allowed for breakdown_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7); 2x5m_close legal ONLY here",2026-09-03 02:44:50.070835612+00:00,full,5f8346adbf1826a8f3b128496d99a8897af5968d123b02b68ac02d25a0c64a8c
113,2026-09-02,ASIA,2,S2 breakdown_continue: a close came back across 29132.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition),2026-09-03 02:46:34.08408331+00:00,repair,8f822241ff5969ac599a5be2b9abed69ecaedc20a372801ad4e37f479554459a
114,2026-09-02,ASIA,1,"S3 breakdown_continue: measured displacement 0.00 pts < BD_MIN_DISP_ATR 1.0×ATR5m (15.2 pts) — not a displacement move, author a normal `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)",2026-09-03 05:07:05.001164352+00:00,full,71c5cb5aa4beb88780a4014c39c53b6e004ed461ab1c2804769f559fcf9105c0
115,2026-09-02,ASIA,1,"S2 breakdown_continue: measured displacement 0.00 pts < BD_MIN_DISP_ATR 1.0×ATR5m (21.5 pts) — not a displacement move, author a normal `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)",2026-09-03 05:33:15.599192784+00:00,full,9322ee32c10614bb3b55410c8f3b96afa6fb7e40406187085792dd5214ac5a46
116,2026-09-03,ASIA,1,"gap-up at 29622.25 (> PDH 29601.00): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below",2026-09-04 05:37:17.294777906+00:00,full,2e0efe55ea1506799ceff8a6f25f4f388466df310e891eec682c6724ad3da35f
117,2026-09-04,LONDON,1,"S2 breakdown_continue: measured displacement 0.00 pts < BD_MIN_DISP_ATR 1.0×ATR5m (34.7 pts) — not a displacement move, author a normal `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)",2026-09-04 12:52:37.160447359+00:00,full,a1f0074479ec7c53419f4a2cce6a1f765cc388aa2d61e11c83e29865382473dd
118,2026-09-04,NY,1,"scenario[0].confirm2.rule ""touch"" not allowed for breakdown_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7); 2x5m_close legal ONLY here",2026-09-04 13:07:20.964657245+00:00,full,f4c76d6a280d95f8358c8f8d0ac99043d43e9398f18a7f0dbeb993ad121a3067
119,2026-09-04,NY,2,"S1 breakdown_continue: the tape shows NO confirming close beyond 29481.50 yet (1 confirming close(s) needed — BD_MIN_CLOSES, displacement + reclaim-check unchanged) — author it only after the displacement exists (or set entry_mode=immediate and accept the confirming-close trigger)",2026-09-04 13:09:03.858539457+00:00,repair,8936703788a843b7927209e8f67e78bd0246cb681f47d3d2819e02148883fde5
120,2026-09-04,NY,3,S1 arm requires entry_mode=pullback (immediate-mode entries are AI-path only),2026-09-04 13:11:45.602575556+00:00,repair,9c7e05adc35ac18edca2df63de3843fc291cdc1a28e7775807f8c1f17d72068d
121,2026-09-04,LONDON,1,"S2 breakdown_continue: the tape shows NO confirming close beyond 29481.50 yet (1 confirming close(s) needed — BD_MIN_CLOSES, displacement + reclaim-check unchanged) — author it only after the displacement exists (or set entry_mode=immediate and accept the confirming-close trigger)",2026-09-04 13:25:34.473894771+00:00,full,f341b04bbf48365dae6b71c74b30e717c5b95badf5f872da31cebd8cb35de9c8
122,2026-09-04,LONDON,2,S2 arm requires entry_mode=pullback (immediate-mode entries are AI-path only),2026-09-04 13:28:32.704571189+00:00,repair,ab3311728b099e9e1bd83881b135510ae617cbb599ed1fe1bdec799be5e5f885
123,2026-09-04,NY,1,"gap-up at 29607.75 (> PDH 29601.00): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below",2026-09-04 13:41:25.949209682+00:00,full,abd391d524baee9d778f207a501a22e833e3e476a3bfc70f2d5bbfdd3f765bea
124,2026-09-04,NY,1,"S2 breakdown_continue: the tape shows NO confirming close beyond 29481.50 yet (1 confirming close(s) needed — BD_MIN_CLOSES, displacement + reclaim-check unchanged) — author it only after the displacement exists (or set entry_mode=immediate and accept the confirming-close trigger)",2026-09-04 14:37:05.828372965+00:00,full,fb7e2b4e28af1f2c4bf1f4be8355006d1e14fb2f8f089e9b6441225883e55c28
125,2026-09-04,NY,2,S2 arm requires entry_mode=pullback (immediate-mode entries are AI-path only),2026-09-04 14:37:52.847399275+00:00,repair,85bf39ae558398dca1982d65b084e41b04f39c7a79ce98d026cc6bdef4253a11
126,2026-09-04,NY,3,"S2 breakdown_continue: measured displacement 0.00 pts < BD_MIN_DISP_ATR 1.0×ATR5m (40.9 pts) — not a displacement move, author a normal `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)",2026-09-04 14:43:31.398312564+00:00,full,35baefa6d557f1716bb4078a0dd8eaf184dd8b876ebddc37a54c184ebf700941
127,2026-09-04,NY,1,"S1 breakdown_continue: the tape shows NO confirming close beyond 29481.50 yet (1 confirming close(s) needed — BD_MIN_CLOSES, displacement + reclaim-check unchanged) — author it only after the displacement exists (or set entry_mode=immediate and accept the confirming-close trigger)",2026-09-04 15:00:52.329703824+00:00,full,9bf9ab3392bfae826d494b878c08187cf868b14951592b42ba1a3d8e606c86a6
128,2026-09-04,NY,2,S1 arm requires entry_mode=pullback (immediate-mode entries are AI-path only),2026-09-04 15:01:35.348812693+00:00,repair,3b93116a090b36de44fdd5c714c429f94204ce23668f1443efae6bc0d1fe6468
129,2026-09-04,NY,3,"S2 breakdown_continue: measured displacement 0.00 pts < BD_MIN_DISP_ATR 1.0×ATR5m (37.3 pts) — not a displacement move, author a normal `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)",2026-09-04 15:05:36.434197573+00:00,full,6a343ae575d8bfb5d80f599ad6979bed04c47e3b7da1adff3dd7328287f50c1b
130,2026-09-04,NY,1,"S1 breakdown_continue: the tape shows NO confirming close beyond 29481.50 yet (1 confirming close(s) needed — BD_MIN_CLOSES, displacement + reclaim-check unchanged) — author it only after the displacement exists (or set entry_mode=immediate and accept the confirming-close trigger)",2026-09-04 15:30:39.920532388+00:00,full,506c518a07b50fba706f46d77f18f4c805e548d91e231c93e4931b6e47425ec1
131,2026-09-04,NY,2,S1 arm requires entry_mode=pullback (immediate-mode entries are AI-path only),2026-09-04 15:31:36.005141577+00:00,repair,bab48867a94cf1211cc2a00822c108685b8d1edd5e6ce8bf03660090eb3832c7
132,2026-09-04,NY,3,"S2 breakdown_continue: measured displacement 0.00 pts < BD_MIN_DISP_ATR 1.0×ATR5m (36.1 pts) — not a displacement move, author a normal `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)",2026-09-04 15:34:21.28301676+00:00,full,8074c300c846936f4e75cb7c12f4ee2faffab433d3642921a0f20d2d72323b61
