gate_leg,file_line,log_string,knob,resolver_file_line,production_call_site,callers_n
arm legacy — direction not armable,trader/armed_executor.go:1286 (return :1286),"same carrier :456; ""direction \""<d>\"" not armable""",none,-,trader/armed_executor.go:415,1 prod
arm legacy — plan bias (direction mode),trader/armed_executor.go:1295-1299 (return :1297),"same carrier :456; ""against plan bias \""<b>\"" (plan_mode=direction)""",day_plan.plan_mode,trader/auto_trader_planconfig.go:41,trader/armed_executor.go:415,1 prod
arm legacy — min_scenario_quality,trader/armed_executor.go:1301-1305 (return :1303),"same carrier :456; ""quality <q> below min_scenario_quality <floor>""",day_plan.min_scenario_quality / session min_grade,kernel.ScenarioQualityRank,trader/armed_executor.go:415,1 prod
arm legacy — R:R floor  ** FIRED 7× IN WINDOW **,trader/armed_executor.go:1307-1318 (return :1316),"""⚔️ arm REFUSED <session> <sc> leg <n>: R:R <rr> below arm min <floor> (studio min_risk_reward_ratio) · rr refusals this session: <n>"" (trader/armed_executor.go:455). NOTE: the binaries running 09-02/09-03 emitted the same line WITHOUT the ""(studio min_risk_reward_ratio)"" suffix.",min_risk_reward_ratio,trader/armed_executor.go:78 armMinRRFor -> store.ResolveMinRiskReward,trader/armed_executor.go:415,1 prod
arm legacy — min-SL x ATR5m,trader/armed_executor.go:1320-1327 (return :1325),"same carrier :456; ""stop <s> too close (<d> < <thr> = <m>×ATR5m)""",MIN_SL_ATR_MULT,kernel/min_sl.go:44,trader/armed_executor.go:415,1 prod
arm legacy — HTF veto,trader/armed_executor.go:1329-1337 (return :1337),"same carrier :456; ""HTF veto: <reason>""",regime.htf_veto (cfg.HTFVetoEnabled) + HTF_VETO_MODE env,kernel/htf_veto.go:73 HTFVetoVerdict + kernel.HTFVetoTF(),trader/armed_executor.go:415,1 prod
arm — one_live_arm_guard / one_open_position,trader/armed_executor.go:607-638 (return :633),"""⚔️ arm REFUSED <session> <sc> leg <n>: one_open_position: …"" (trader/armed_executor.go:487) + ""✕ armed cancel (one_live_arm_guard): …"" (:477)",none (owner ruling),store.Position().GetOpenPositions,trader/armed_executor.go:468,1 prod
arm — split_leg_capacity,trader/armed_executor.go:305-311 (log :308),"""⚔️ arm REFUSED <session> <sc>: split_leg_capacity — authors <n> legs but account capacity is <c> …""",max_contracts_per_order,trader/armed_executor.go:641 armLegCapacity -> :655 splitLegCapacity (unset -> 1),trader/armed_executor.go:305 (inline in runArmedExecutor),1 prod
arm — condition_shadowed (0C demotion),trader/armed_executor.go:320-368 (log :339),"""⚔️ arm REFUSED <session> <sc>: condition_shadowed (<cond> is SHADOW — authored + E8-scored, never placed)""",condition_status / SHADOW_CONDITIONS,trader/armed_executor.go:30 conditionShadowedFor,trader/armed_executor.go:320 (inline),1 prod
arm — ARM STOP COMPOSITION (rewrites leg.Stop BEFORE every gate),trader/armed_executor.go:369-395 -> trader/arm_stop_anchor.go:71 composeArmStop,"""🛑 arm stop <sess> <sc> leg <n> <side>: stop <s> (authored <a> WIDENED) · anchor <lvl> → beyond <p> · atr_floor <f> (<m>×ATR5m <atr>) · bound=<b>"" (trader/arm_stop_anchor.go:154-172)",MIN_SL_ATR_MULT · MinSLTickClearance · ARM_STOP_ANCHOR_MAX_ATR,kernel/min_sl.go:44 · kernel/min_sl.go:40 · trader/arm_stop_anchor.go:38,trader/armed_executor.go:369,1 prod
decision legacy — feed_down,trader/auto_trader_orders.go:146-158,"""⛔ feed-gate: <action> <sym> skipped — NT8 price feed not Connected (status=…)""",(none),trader ninjaFeedDown,trader/auto_trader_orders.go:148,1 prod
decision legacy — dead_man watchdog,trader/auto_trader_orders.go:166-174,"""⛔ dead-man watchdog: <sym> <action> REFUSED — NT8 link not yet reconciled…""",(none),at.deadMan.entriesBlocked(),trader/auto_trader_orders.go:167,1 prod
decision legacy — frozen (A4),trader/auto_trader_orders.go:182-190,"""🚨 A4 FROZEN: <sym> <action> REFUSED — trader is frozen (<r>)""",(none),discipline.IsFrozen,trader/auto_trader_orders.go:183,1 prod
decision legacy — boot integrity,trader/auto_trader_orders.go:198-210,"""🔐 BOOT INTEGRITY REFUSAL: <sym> <action> BLOCKED — <reason>""",RELEASE file vs binary rev,kernel/boot_integrity.go:173 TradingRefused,trader/auto_trader_orders.go:200,1 prod
decision legacy — stop_until owner pause,trader/auto_trader_orders.go:217-227,"""⏸ stop_until: <sym> <action> REFUSED — <r>""",stop_until,trader/auto_trader_pause.go:94 entryPaused,trader/auto_trader_orders.go:219,1 prod
decision legacy — contract roll,trader/auto_trader_orders.go:234-244,"""📅 contract-roll: <sym> <action> REFUSED — <r>""",ROLL_BLOCK_DAYS_BEFORE_EXPIRY,trader/contract_roll.go:128 entryBlockedByRoll,trader/auto_trader_orders.go:236,1 prod
decision legacy — consecutive-loss halt,trader/auto_trader_orders.go:248-260,"""🛑 consecutive-loss halt: <sym> entry REFUSED — <r>""",risk_control.consecutive_loss_halt (0=off; strategy MNQ = unset -> OFF),trader/auto_trader_orders.go:112 consecutiveLossHalted,trader/auto_trader_orders.go:250,1 prod
decision legacy — last-entry cutoff  ** FIRED 1× IN WINDOW **,trader/auto_trader_orders.go:265-274,"""🕒 last-entry cutoff: <sym> <action> REFUSED — past last-entry <HH:MM> CT (<session>). Entries reopen next session.""",day_plan last-entry time (per session),trader/auto_trader_clock.go:387 entryBlockedByLastEntry,trader/auto_trader_orders.go:267,1 prod
decision legacy — session gate,trader/auto_trader_orders.go:279-288,"""🗓️ session gate: <sym> <action> REFUSED — <r>.""",day_plan.sessions_enabled + session overrides,trader/auto_trader_session.go:27 sessionEntryBlocked,trader/auto_trader_orders.go:281,1 prod
decision legacy — plan_mode (W9),trader/auto_trader_orders.go:293-302 -> trader/auto_trader_planconfig.go:188 planModeBlocked,"""📐 plan-mode: <sym> <action> REFUSED — <r>.""",day_plan.plan_mode,trader/auto_trader_planconfig.go:41,trader/auto_trader_orders.go:295,1 prod
decision legacy — approval_required,trader/auto_trader_orders.go:307-319,"""✋ approval required: <sym> <action> HELD — awaiting owner approval for this session.""",day_plan.approval_required (=false live),trader/auto_trader_planconfig.go:153,trader/auto_trader_orders.go:309,1 prod
validateDecision — R:R (risk<=0),kernel/engine_position.go:172-181,"""📐 R:R REJECT <sym> <act>: entry=… → risk=… ≤ 0 …""",min_risk_reward_ratio,kernel/engine_position.go:151-154 effRR (<=0 -> 3.0),kernel/engine_position.go:33 ValidateDecisions loop,1 prod
validateDecision — R:R floor,kernel/engine_position.go:183-192,"eval line: ""📐 R:R eval <sym> <act>: entry=… SL=… TP=… → risk=… reward=… R:R=… (min …) → PASS|FAIL""; refusal is the returned error",min_risk_reward_ratio,kernel/engine_position.go:151-154,kernel/engine_position.go:33,1 prod
validateDecision — min_confidence,kernel/engine_position.go:197-201,"(no log line; error only) ""confidence too low (<c>), must be ≥<m>""",risk_control.min_confidence (0=off; strategy MNQ = unset),kernel prompt/engine caller,kernel/engine_position.go:33,1 prod
validateDecision — min-SL ×ATR5m  ** FIRED 34× IN WINDOW **,kernel/engine_position.go:227-231 -> kernel/min_sl.go:56 MinSLVerdict,"""🛑 MIN-SL REJECT <sym> <act>: sl_too_tight: <dist> < <mult>×ATR (<atr>) — widen or skip""",MIN_SL_ATR_MULT,"kernel/min_sl.go:44 (default kernel/min_sl.go:34 = 1.5); ATR from ctx.Structure[""5m""].Atr",kernel/engine_position.go:33,1 prod
validateDecision — min-SL level clearance,kernel/engine_position.go:236-252,"(no log line; error only) ""sl_too_tight: stop <s> does not clear the cited level <a> by ≥2 tick(s)""",MinSLTickClearance=2,kernel/min_sl.go:40 + kernel/min_sl.go:72 MinSLAnchorFor,kernel/engine_position.go:33,1 prod
validateDecision — HTF veto,kernel/engine_position.go:261-267,"""🛡️ HTF VETO <sym> <act>: <msg>""",regime.htf_veto + HTF_VETO_MODE,kernel/htf_veto.go:73,kernel/engine_position.go:33,1 prod
validateDecision — transition stand-down,kernel/engine_position.go:274-280,"""⏸ TRANSITION STAND-DOWN <sym> <act>: <msg>""",(none — CHoCH detector),kernel/transition.go:90,kernel/engine_position.go:33,1 prod
validateDecision — executor dead-plan,kernel/engine_position.go:285-293,"""🚧 EXECUTOR PLAN GATE <sym> <act>: <msg>""",day_plan on + plan lifecycle,kernel/transition.go:51,kernel/engine_position.go:33,1 prod
validateDecision — min_scenario_quality,kernel/engine_position.go:300-306,"""🚧 SCENARIO QUALITY GATE <sym> <act>: <msg>""",day_plan.min_scenario_quality (C = off),kernel/transition.go:63,kernel/engine_position.go:33,1 prod
** DEAD GATE (A29) ** armGateVerdict (legacy single-arm wrapper),trader/armed_executor.go:1268-1273,n/a — never runs in production,n/a,n/a,"NONE. 0 production callers. 8 call sites, all in trader/armed_executor_test.go (:77,:82,:87,:94,:100,:180,:185,:189)",0 prod / 8 test
