knob,live_value,value_source,default_file_line,established_yes_no
position size,1 contract (fixed by 0B),boot line "size=1",main.go:335,yes
no_chase max_dist,1.00×ATR,"env NOCHASE_MAX_DIST_ATR UNSET → code default; boot line ""🚫 no-chase: max_dist=1.00×ATR""",trader/no_chase.go:77 (return 1.0),yes
no_chase max_run,1.5×ATR5m (reads the same source as the stop floor),boot line "max_run=1.5×ATR5m(stop floor)",trader/no_chase.go:146-147 (reads kernel.MinSLATRMult()),yes
no_chase mode,warn (WARN-FIRST — refuses nothing; counters recorded),"boot line ""mode=warn counters=on""; gate code runs it LAST and never returns a refusal",trader/entry_gate.go:~288 (OnNoChase callback) / trader/no_chase.go:145,yes
shadow condition map,"shadow = [breakout_retest, fvg_entry]; live = [acceptance, breakdown_continue, breakup_continue, hold, reclaim, reject, sweep_reclaim]","process-level defaults+env; env SHADOW_CONDITIONS UNSET; strategy MNQ has no day_plan.condition_status; boot line ""🔬 conditions: …""",kernel/condition_status.go:75 (ShadowConditionsEnv) — defaults live in kernel/condition_status.go,yes
wake cutoff minutes,25 (ENFORCE),"env WAKE_CUTOFF_MIN UNSET → code default; boot line ""⏱ wakes: cutoff=25m(enforce)""; promoted WARN→ENFORCE at combined boot 1 (7d7b57bc)",trader/class47_wake_cadence.go:52 WakeCutoffMinDefault = 25,yes
wake cooldown minutes,30 (ENFORCE; fast-market ≥1.5×ATR exempts the COOLDOWN only),"env WAKE_COOLDOWN_MIN UNSET → code default; boot line ""cooldown=30m(enforce, fast-market≥1.5×ATR exempt)""",trader/class47_wake_cadence.go:59 WakeCooldownMinDefault = 30,yes
stale-arm expiry,ON,boot line "stale-arm-expiry=on (class 47)",trader/class47_wake_cadence.go (class 47 wave; no env knob found),yes
cross-session wake claim,ON,boot line "cross-session=on",trader/class47_wake_cadence.go,yes
risk_control.min_confidence,60,"saved in strategy MNQ (min_confidence: 60); equals SafeDefaultMinConfidence so saved and default coincide",store/strategy.go:83 SafeDefaultMinConfidence = 60 (clamp floor store/strategy.go:60 MinConfidence = 50),yes
no-trade band — first N minutes,5 minutes after session open,"code constant, NOT owner-configurable; boot line ""🗓 no-trade band: first_n=5m … (source=code-constant, shared by gate+grader+card)""",kernel/no_trade_band.go:37 FirstNoTradeMinutes() = 5,yes
no-trade band - lunch window,12:00-13:30 CT,"code constant, NOT owner-configurable","kernel/no_trade_band.go:42 LunchWindowCT() returns 12:00 and 13:30",yes
htf_veto (enabled),ON,"strategy MNQ has NO regime block → store.ResolveHTFVeto returns true / SourceShippedDefault; boot line ""htf_veto=ON (Studio regime.htf_veto, default ON)""",store/resolve_source.go:38,yes
htf_veto mode,cross (veto only when 1h AND 4h agree),"env HTF_VETO_MODE=cross in /home/hoang/nofx/.env; boot line ""🛡️ htf veto: mode=cross""",kernel/htf_veto.go:40 (default "1h" when unset),yes
htf_veto timeframe,1h,"env HTF_VETO_TF UNSET → code default; boot line ""tf=1h""",kernel/htf_veto.go:21 DefaultHTFVetoTF = "1h",yes
arm placement band,100 ticks,"env ARM_PLACE_TICKS UNSET → code default; boot line ""place_band=100t""",trader/armed_executor.go:45 (return 100),yes
arm working-stale cancel,15 minutes,"env ARM_WORKING_STALE_MIN UNSET → code default; boot line ""stale_working=15m""",trader/armed_executor.go:122 (return 15),yes
armed test seam,off,env ARMED_TEST_SEAM=off in .env; boot line "test_seam=off",trader/armed_executor.go (armedSeamStateLabel),yes
stop_entry_seam,ON,env STOP_ENTRY_SEAM=on in .env; boot line "stop_entry_seam=ON",kernel/entry_law.go:107 (default OFF — the env value is what turns it on),yes
stop_entry_offset_ticks,2,"env STOP_ENTRY_OFFSET_TICKS UNSET → code default; boot line ""stop_entry_offset_ticks=2""",kernel/entry_law.go:119 (return 2),yes
retest_wait_bars,6,"env RETEST_WAIT_BARS UNSET → code default; boot line ""retest_wait_bars=6""",kernel/entry_law.go:130 (return 6),yes
entry law bd_min_closes,1,boot line "🎛 entry law: bd_min_closes=1",kernel/breakdown_continue.go:65 bdConfirmCloses(),yes
entry law bd_min_disp_atr,1.00,boot line "bd_min_disp_atr=1.00",kernel/breakdown_continue.go:43 bdMinDispATR(),yes
entry law mss_min_disp_atr,0.50,boot line "mss_min_disp_atr=0.50",kernel/mss.go:33 MSSMinDispATR(),yes
entry law accept_hold_min,10,boot line "accept_hold_min=10",kernel/plan_confirm.go:227 AcceptHoldMin(),yes
day_plan.last_entry_ct,"SAVED 13:00 but INEFFECTIVE — the resolved NY last-entry is 14:30 (session flat 14:45 minus 15)","strategy MNQ saves 13:00; boot 🧾 ledger line resolves ""NY 08:30→14:45 CT (last-entry 14:30, flat 14:45)""; registry classifies it KnobIneffective ""unreachable (auto_trader_clock.go)""",store/knob_registry_table.go:87; reader trader/auto_trader_clock.go:329,yes (as INEFFECTIVE)
day_plan.eod_flat_ct,14:45 CT (NY),strategy MNQ eod_flat_ct=14:45; matches the resolved ledger line,store/strategy.go:1422 area (schema default block),yes
sessions in force,"ASIA 17:00→02:00 (last-entry 01:45) · LONDON 02:00→08:30 (last-entry 08:15) · NY 08:30→14:45 (last-entry 14:30) CT",boot 🧾 ledger line (READ from the session registry); strategy MNQ enables all three,session registry (kernel) — not the strategy's sessions_enabled:["NY"],yes
replan_cap,4 per session,strategy MNQ day_plan.replan_cap=4 and per-session replan_cap=4; class-35 recorded counter,main.go:330 (🧮 replan budget line),yes
min_scenario_quality,C,boot line "🗺️ day-plan knobs: min_scenario_quality=C" (dp.MinScenarioQualityFor("")),trader/auto_trader_dayplan.go:56,yes
seat_1h_zone,true,boot line "seat_1h_zone=true",trader/auto_trader_dayplan.go:56,yes
ob_lookback_bars,8,boot line "ob_lookback_bars=8" (kernel.OBLookbackBars()),trader/auto_trader_dayplan.go:56,yes
position_mode,ai_watch (source: db); watcher min_conf=70 hold=2 warn_consec=2,boot 🧾 ledger line,trader/auto_trader.go ledger boot,yes
guardrails master,OFF (soft-audit only) — daily loss/profit/trade limits + blackout NOT enforced,"strategy MNQ guardrails_enabled:false; per-cycle WARN at kernel/engine_analysis.go:173",kernel/engine_analysis.go:173,yes
shadow A/B (SHADOW_AB_ENABLED),OFF (target_n=10 done=0),"env SHADOW_AB_ENABLED UNSET; boot line ""🔬 shadow A/B … OFF""",trader (ShadowABEnabled/ShadowABTarget),yes
planner stream idle deadline,30s,"env AI_PLAN_STREAM_IDLE_SECS UNSET → code default; boot line ""stream_idle=30s""",kernel/planner_speed.go:22-29 (default 30),yes
planner stream TOTAL deadline,1200s,"env AI_PLAN_TOTAL_DEADLINE_SECS is NOT in /home/hoang/nofx/.env — 1200 is the CODE DEFAULT, not an env setting (memory entry project_class37 says it was set in .env; that is wrong, behaviour identical)",kernel/planner_speed.go:38-49 (default 1200),yes
executor HTTP ceiling,600s (non-stream paths only),env AI_HTTP_TIMEOUT_SECONDS=600 in .env; boot line "http_ceiling=600s",config (AI_HTTP_TIMEOUT_SECONDS),yes
planner max tokens,65536,"env AI_PLAN_MAX_TOKENS UNSET → default 65536; boot line ""📐 planner cap: plan_max_tokens=65536 (AI_PLAN_MAX_TOKENS; default 65536)""",trader/auto_trader_dayplan.go:73 (aiPlanMaxTokens()),yes
client max tokens,32768,env AI_MAX_TOKENS=32768 in .env; boot line "client_max_tokens=32768",config,yes
AI retries / backoff,retries=2 · backoff=2s,"env AI_MAX_RETRIES=2 in .env; AI_RETRY_BACKOFF_SECONDS UNSET (boot WARNs it is at an unset default)",config,yes
timezone,America/Chicago (CT) — host TZ and NOFX_TIMEZONE ignored,"boot line ""🕐 Timezone pinned: America/Chicago (CT) … host TZ ignored"" DESPITE .env NOFX_TIMEZONE=UTC",main.go:145,yes (the .env value is dead)
knob registry totals,schema=57 classified=167 live=144 ineffective=7 candidate-unverified=16 suspended=0 advisory=0 display-only=0 infra=0 env-shadows=0,boot line "⚙ settings:" (main.go:429) — from the registry itself,store/knob_registry.go / knob_registry_table.go,yes
GET /api/config/resolved live payload,NOT ESTABLISHED,"endpoint returns HTTP 401 {""error"":""Missing Authorization header""} (registered under `protected`); minting a local JWT was blocked by the session's command classifier",api/server.go:152,NO — could not read the endpoint; every value above comes from boot lines / .env / DB / code instead
"traders table bindings (account / strategy_id column)",NOT ESTABLISHED DIRECTLY,"every SELECT against the traders table was refused by this session command classifier (the table holds broker credentials). Binding established indirectly: log line 09-03 10:28:29 CT ""Trader hoang loaded strategy config: MNQ"" plus the code comment at trader/armed_executor.go:64 naming the bound strategy MNQ a5b7662e",n/a,partial - binding yes [A] / raw row no
