ts_ct,path,session,scenario,leg,knob,knob_value,numbers,entry_px,stop_px,target_px,cf_touched,cf_outcome,cf_pts,cf_usd,cf_time_ct,cf_horizon_session_flat,cf_outcome_cme,cf_pts_cme,cf_usd_cme,cf_time_cme,cf_horizon_cme_day,cf_fill_ct,decision_cycle,evidence_cmd
2026-09-02 10:50:49,decision,NY,,min_sl (validateDecision A3),MIN_SL_ATR_MULT,1.5 (READ from the boot line 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' ; raised at the 09-02 07:49:06 CT boot rev 4175e0b62de7 ; env MIN_SL_ATR_MULT unset),dist=40.0 pts vs 1.5x ATR5m 32.2 = 48.3; R:R 2.53 PASSED first,29145.0,29105.0,29246.25,yes(market),FLAT_AT_HORIZON,30.0,60.0,2026-09-02 14:44,2026-09-02 14:45,FLAT_AT_HORIZON,-2.0,-4.0,2026-09-02 15:59,2026-09-02 17:00,2026-09-02 10:50,26508,"grep -n ""MIN-SL REJECT"" /home/hoang/nofx/data/nofx_2026-09-02.log /home/hoang/nofx/data/nofx_2026-09-03.log | prices from the paired 218 R:R eval 219 line at the same second (kernel/engine_position.go:187)"
2026-09-02 13:06:29,arm,NY,S1,rr (armGateVerdictFor),min_risk_reward_ratio,2.00 (EXPLICIT saved value: strategies.a5b7662e config.ai_config.risk_control.min_risk_reward_ratio=2 ; confirmed live by the boot line 'armed_orders=on ... arm_rr=2.0 (gate-at-arm only; market-entry floor 2.0 unchanged)'),"R:R 1.32 (recomputed 1.316) < 2.00 ; entry 29163.99 composed stop 29101.5 target 29246.25 ; stop composition: anchor OR-H 29102.00 -> beyond 29101.50 (authored 29138.75 WIDENED), bound=anchor",29163.99,29101.5,29246.25,yes,FLAT_AT_HORIZON,11.01,22.02,2026-09-02 14:44,2026-09-02 14:45,FLAT_AT_HORIZON,-20.99,-41.98,2026-09-02 15:59,2026-09-02 17:00,2026-09-02 13:06,,"grep -n ""arm REFUSED"" nofx_2026-09-02.log nofx_2026-09-03.log ; grep ""arm stop <SESS> <SC> leg 1"" for the COMPOSED stop ; sqlite3 ""SELECT doc FROM plans WHERE plan_id=<pid> AND version=<v>"" for arm entry/target"
2026-09-02 17:47:43,decision,ASIA,,min_sl (validateDecision A3),MIN_SL_ATR_MULT,1.5 (READ from the boot line 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' ; raised at the 09-02 07:49:06 CT boot rev 4175e0b62de7 ; env MIN_SL_ATR_MULT unset),dist=21.5 pts vs 1.5x ATR5m 17.3 = 25.95; R:R 2.02 PASSED first,29192.5,29214.0,29149.0,yes(market),STOP,-21.5,-43.0,2026-09-02 18:46,2026-09-03 02:00,STOP,-21.5,-43.0,2026-09-02 18:46,2026-09-03 17:00,2026-09-02 17:47,26687,"grep -n ""MIN-SL REJECT"" /home/hoang/nofx/data/nofx_2026-09-02.log /home/hoang/nofx/data/nofx_2026-09-03.log | prices from the paired 218 R:R eval 219 line at the same second (kernel/engine_position.go:187)"
2026-09-02 18:47:17,arm,ASIA,S2,rr (armGateVerdictFor),min_risk_reward_ratio,2.00 (EXPLICIT saved value: strategies.a5b7662e config.ai_config.risk_control.min_risk_reward_ratio=2 ; confirmed live by the boot line 'armed_orders=on ... arm_rr=2.0 (gate-at-arm only; market-entry floor 2.0 unchanged)'),"R:R 1.30 (recomputed 1.304) < 2.00 ; entry 29209.25 composed stop 29230.43 target 29181.64 ; stop composition: atr_floor 29230.43 (1.5xATR5m 14.12), authored 29223.00 WIDENED, bound=atr_floor",29209.25,29230.43,29181.64,yes,TARGET,27.61,55.22,2026-09-02 19:07,2026-09-03 02:00,TARGET,27.61,55.22,2026-09-02 19:07,2026-09-03 17:00,2026-09-02 18:47,,"grep -n ""arm REFUSED"" nofx_2026-09-02.log nofx_2026-09-03.log ; grep ""arm stop <SESS> <SC> leg 1"" for the COMPOSED stop ; sqlite3 ""SELECT doc FROM plans WHERE plan_id=<pid> AND version=<v>"" for arm entry/target"
2026-09-02 18:48:13,decision,ASIA,,min_sl (validateDecision A3),MIN_SL_ATR_MULT,1.5 (READ from the boot line 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' ; raised at the 09-02 07:49:06 CT boot rev 4175e0b62de7 ; env MIN_SL_ATR_MULT unset),dist=15.0 pts vs 1.5x ATR5m 12.8 = 19.2; R:R 2.0 PASSED first,29209.25,29224.25,29179.25,yes(market),TARGET,30.0,60.0,2026-09-02 19:07,2026-09-03 02:00,TARGET,30.0,60.0,2026-09-02 19:07,2026-09-03 17:00,2026-09-02 18:48,26718,"grep -n ""MIN-SL REJECT"" /home/hoang/nofx/data/nofx_2026-09-02.log /home/hoang/nofx/data/nofx_2026-09-03.log | prices from the paired 218 R:R eval 219 line at the same second (kernel/engine_position.go:187)"
2026-09-02 18:48:49,decision,ASIA,S2,min_sl (EntryGate leg 6),MIN_SL_ATR_MULT,1.5 (READ from the boot line 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' ; raised at the 09-02 07:49:06 CT boot rev 4175e0b62de7 ; env MIN_SL_ATR_MULT unset),"stop 29231.00 dist 25.25 < 450.56 = 1.5xATR5m ; ATR5m fed the DAILY ATR 300.37 (bug, fixed 609067ec)",29205.75,29231.0,29149.0,yes(market),TARGET,56.75,113.5,2026-09-02 19:16,2026-09-03 02:00,TARGET,56.75,113.5,2026-09-02 19:16,2026-09-03 17:00,2026-09-02 18:48,26718,"sqlite3 ""file:/home/hoang/nofx/data/data.db?mode=ro"" ""SELECT id,datetime(timestamp,'-5 hours'),risk_check_error,decision_json FROM decision_records WHERE risk_check_error LIKE 'entry_gate%' ORDER BY timestamp"""
2026-09-02 18:49:46,decision,ASIA,,min_sl (validateDecision A3),MIN_SL_ATR_MULT,1.5 (READ from the boot line 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' ; raised at the 09-02 07:49:06 CT boot rev 4175e0b62de7 ; env MIN_SL_ATR_MULT unset),dist=17.8 pts vs 1.5x ATR5m 12.8 = 19.2; R:R 3.17 PASSED first,29205.25,29223.0,29149.0,yes(market),TARGET,56.25,112.5,2026-09-02 19:16,2026-09-03 02:00,TARGET,56.25,112.5,2026-09-02 19:16,2026-09-03 17:00,2026-09-02 18:49,26719,"grep -n ""MIN-SL REJECT"" /home/hoang/nofx/data/nofx_2026-09-02.log /home/hoang/nofx/data/nofx_2026-09-03.log | prices from the paired 218 R:R eval 219 line at the same second (kernel/engine_position.go:187)"
2026-09-02 18:50:36,decision,ASIA,S2,min_sl (EntryGate leg 6),MIN_SL_ATR_MULT,1.5 (READ from the boot line 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' ; raised at the 09-02 07:49:06 CT boot rev 4175e0b62de7 ; env MIN_SL_ATR_MULT unset),stop 29226.50 dist 21.00 < 450.56 = 1.5xATR5m (daily ATR bug),29205.5,29226.5,29162.75,yes(market),TARGET,42.75,85.5,2026-09-02 19:15,2026-09-03 02:00,TARGET,42.75,85.5,2026-09-02 19:15,2026-09-03 17:00,2026-09-02 18:50,26719,"sqlite3 ""file:/home/hoang/nofx/data/data.db?mode=ro"" ""SELECT id,datetime(timestamp,'-5 hours'),risk_check_error,decision_json FROM decision_records WHERE risk_check_error LIKE 'entry_gate%' ORDER BY timestamp"""
2026-09-02 18:52:04,decision,ASIA,,min_sl (validateDecision A3),MIN_SL_ATR_MULT,1.5 (READ from the boot line 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' ; raised at the 09-02 07:49:06 CT boot rev 4175e0b62de7 ; env MIN_SL_ATR_MULT unset),dist=16.8 pts vs 1.5x ATR5m 14.1 = 21.15; R:R 2.58 PASSED first,29206.25,29223.0,29163.0,yes(market),TARGET,43.25,86.5,2026-09-02 19:15,2026-09-03 02:00,TARGET,43.25,86.5,2026-09-02 19:15,2026-09-03 17:00,2026-09-02 18:52,26720,"grep -n ""MIN-SL REJECT"" /home/hoang/nofx/data/nofx_2026-09-02.log /home/hoang/nofx/data/nofx_2026-09-03.log | prices from the paired 218 R:R eval 219 line at the same second (kernel/engine_position.go:187)"
2026-09-02 18:52:33,decision,ASIA,S2,min_sl (EntryGate leg 6),MIN_SL_ATR_MULT,1.5 (READ from the boot line 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' ; raised at the 09-02 07:49:06 CT boot rev 4175e0b62de7 ; env MIN_SL_ATR_MULT unset),stop 29230.00 dist 22.00 < 450.56 = 1.5xATR5m (daily ATR bug),29208.0,29230.0,29149.0,yes(market),TARGET,59.0,118.0,2026-09-02 19:16,2026-09-03 02:00,TARGET,59.0,118.0,2026-09-02 19:16,2026-09-03 17:00,2026-09-02 18:52,26720,"sqlite3 ""file:/home/hoang/nofx/data/data.db?mode=ro"" ""SELECT id,datetime(timestamp,'-5 hours'),risk_check_error,decision_json FROM decision_records WHERE risk_check_error LIKE 'entry_gate%' ORDER BY timestamp"""
2026-09-02 18:55:11,decision,ASIA,,min_sl (validateDecision A3),MIN_SL_ATR_MULT,1.5 (READ from the boot line 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' ; raised at the 09-02 07:49:06 CT boot rev 4175e0b62de7 ; env MIN_SL_ATR_MULT unset),dist=18.2 pts vs 1.5x ATR5m 14.1 = 21.15; R:R 2.0 PASSED first,29205.0,29223.25,29168.5,yes(market),TARGET,36.5,73.0,2026-09-02 19:13,2026-09-03 02:00,TARGET,36.5,73.0,2026-09-02 19:13,2026-09-03 17:00,2026-09-02 18:55,26721,"grep -n ""MIN-SL REJECT"" /home/hoang/nofx/data/nofx_2026-09-02.log /home/hoang/nofx/data/nofx_2026-09-03.log | prices from the paired 218 R:R eval 219 line at the same second (kernel/engine_position.go:187)"
2026-09-02 18:57:02,decision,ASIA,,min_sl (validateDecision A3),MIN_SL_ATR_MULT,1.5 (READ from the boot line 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' ; raised at the 09-02 07:49:06 CT boot rev 4175e0b62de7 ; env MIN_SL_ATR_MULT unset),dist=18.5 pts vs 1.5x ATR5m 13.8 = 20.7; R:R 2.01 PASSED first,29204.5,29223.0,29167.25,yes(market),TARGET,37.25,74.5,2026-09-02 19:13,2026-09-03 02:00,TARGET,37.25,74.5,2026-09-02 19:13,2026-09-03 17:00,2026-09-02 18:57,26722,"grep -n ""MIN-SL REJECT"" /home/hoang/nofx/data/nofx_2026-09-02.log /home/hoang/nofx/data/nofx_2026-09-03.log | prices from the paired 218 R:R eval 219 line at the same second (kernel/engine_position.go:187)"
2026-09-02 18:57:41,decision,ASIA,,min_sl (validateDecision A3),MIN_SL_ATR_MULT,1.5 (READ from the boot line 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' ; raised at the 09-02 07:49:06 CT boot rev 4175e0b62de7 ; env MIN_SL_ATR_MULT unset),dist=20.2 pts vs 1.5x ATR5m 13.8 = 20.7; R:R 2.02 PASSED first,29204.5,29224.75,29163.5,yes(market),TARGET,41.0,82.0,2026-09-02 19:15,2026-09-03 02:00,TARGET,41.0,82.0,2026-09-02 19:15,2026-09-03 17:00,2026-09-02 18:57,26722,"grep -n ""MIN-SL REJECT"" /home/hoang/nofx/data/nofx_2026-09-02.log /home/hoang/nofx/data/nofx_2026-09-03.log | prices from the paired 218 R:R eval 219 line at the same second (kernel/engine_position.go:187)"
2026-09-02 18:58:38,decision,ASIA,,min_sl (validateDecision A3),MIN_SL_ATR_MULT,1.5 (READ from the boot line 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' ; raised at the 09-02 07:49:06 CT boot rev 4175e0b62de7 ; env MIN_SL_ATR_MULT unset),dist=20.5 pts vs 1.5x ATR5m 13.8 = 20.7; R:R 2.71 PASSED first,29204.5,29225.0,29149.0,yes(market),TARGET,55.5,111.0,2026-09-02 19:16,2026-09-03 02:00,TARGET,55.5,111.0,2026-09-02 19:16,2026-09-03 17:00,2026-09-02 18:58,26722,"grep -n ""MIN-SL REJECT"" /home/hoang/nofx/data/nofx_2026-09-02.log /home/hoang/nofx/data/nofx_2026-09-03.log | prices from the paired 218 R:R eval 219 line at the same second (kernel/engine_position.go:187)"
2026-09-02 18:59:36,decision,ASIA,,min_sl (validateDecision A3),MIN_SL_ATR_MULT,1.5 (READ from the boot line 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' ; raised at the 09-02 07:49:06 CT boot rev 4175e0b62de7 ; env MIN_SL_ATR_MULT unset),dist=20.0 pts vs 1.5x ATR5m 13.8 = 20.7; R:R 2.7 PASSED first,29203.0,29223.0,29149.0,yes(market),TARGET,54.0,108.0,2026-09-02 19:16,2026-09-03 02:00,TARGET,54.0,108.0,2026-09-02 19:16,2026-09-03 17:00,2026-09-02 18:59,26723,"grep -n ""MIN-SL REJECT"" /home/hoang/nofx/data/nofx_2026-09-02.log /home/hoang/nofx/data/nofx_2026-09-03.log | prices from the paired 218 R:R eval 219 line at the same second (kernel/engine_position.go:187)"
2026-09-02 19:00:23,decision,ASIA,S2,rr_at_fill (EntryGate leg 5),min_risk_reward_ratio,2.00 (EXPLICIT saved value: strategies.a5b7662e config.ai_config.risk_control.min_risk_reward_ratio=2 ; confirmed live by the boot line 'armed_orders=on ... arm_rr=2.0 (gate-at-arm only; market-entry floor 2.0 unchanged)'),R:R 1.42 at exec price 29197.00 (risk 31.00 reward 44.00) < floor 2.00; snapshot R:R was 2.00,29197.0,29228.0,29153.0,yes(market),TARGET,44.0,88.0,2026-09-02 19:15,2026-09-03 02:00,TARGET,44.0,88.0,2026-09-02 19:15,2026-09-03 17:00,2026-09-02 19:00,26723,"sqlite3 ""file:/home/hoang/nofx/data/data.db?mode=ro"" ""SELECT id,datetime(timestamp,'-5 hours'),risk_check_error,decision_json FROM decision_records WHERE risk_check_error LIKE 'entry_gate%' ORDER BY timestamp"""
2026-09-02 20:07:16,arm,ASIA,S3,rr (armGateVerdictFor),min_risk_reward_ratio,2.00 (EXPLICIT saved value: strategies.a5b7662e config.ai_config.risk_control.min_risk_reward_ratio=2 ; confirmed live by the boot line 'armed_orders=on ... arm_rr=2.0 (gate-at-arm only; market-entry floor 2.0 unchanged)'),"R:R 1.75 (recomputed 1.752) < 2.00 ; entry 29175.66 composed stop 29198.16 target 29136.25 ; stop composition: atr_floor 29198.16 (1.5xATR5m 15.00), authored 29194.30 WIDENED, bound=atr_floor",29175.66,29198.16,29136.25,yes,STOP,-22.5,-45.0,2026-09-02 20:19,2026-09-03 02:00,STOP,-22.5,-45.0,2026-09-02 20:19,2026-09-03 17:00,2026-09-02 20:07,,"grep -n ""arm REFUSED"" nofx_2026-09-02.log nofx_2026-09-03.log ; grep ""arm stop <SESS> <SC> leg 1"" for the COMPOSED stop ; sqlite3 ""SELECT doc FROM plans WHERE plan_id=<pid> AND version=<v>"" for arm entry/target"
2026-09-02 20:53:52,decision,ASIA,S2,rr_at_fill (EntryGate leg 5),min_risk_reward_ratio,2.00 (EXPLICIT saved value: strategies.a5b7662e config.ai_config.risk_control.min_risk_reward_ratio=2 ; confirmed live by the boot line 'armed_orders=on ... arm_rr=2.0 (gate-at-arm only; market-entry floor 2.0 unchanged)'),R:R 1.73 at exec price 29159.75 (risk 33.50 reward 58.00) < floor 2.00; snapshot R:R was 2.00,29159.75,29193.25,29101.75,yes(market),STOP,-33.5,-67.0,2026-09-02 21:19,2026-09-03 02:00,STOP,-33.5,-67.0,2026-09-02 21:19,2026-09-03 17:00,2026-09-02 20:53,26781,"sqlite3 ""file:/home/hoang/nofx/data/data.db?mode=ro"" ""SELECT id,datetime(timestamp,'-5 hours'),risk_check_error,decision_json FROM decision_records WHERE risk_check_error LIKE 'entry_gate%' ORDER BY timestamp"""
2026-09-03 02:12:19,decision,LONDON,,min_sl (validateDecision A3),MIN_SL_ATR_MULT,1.5 (READ from the boot line 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' ; raised at the 09-02 07:49:06 CT boot rev 4175e0b62de7 ; env MIN_SL_ATR_MULT unset),dist=24.8 pts vs 1.5x ATR5m 23.5 = 35.25; R:R 2.63 PASSED first,29204.0,29228.75,29139.0,yes(market),STOP,-24.75,-49.5,2026-09-03 02:40,2026-09-03 08:30,STOP,-24.75,-49.5,2026-09-03 02:40,2026-09-03 17:00,2026-09-03 02:12,26942,"grep -n ""MIN-SL REJECT"" /home/hoang/nofx/data/nofx_2026-09-02.log /home/hoang/nofx/data/nofx_2026-09-03.log | prices from the paired 218 R:R eval 219 line at the same second (kernel/engine_position.go:187)"
2026-09-03 02:12:56,decision,LONDON,S1,rr_at_fill (EntryGate leg 5),min_risk_reward_ratio,2.00 (EXPLICIT saved value: strategies.a5b7662e config.ai_config.risk_control.min_risk_reward_ratio=2 ; confirmed live by the boot line 'armed_orders=on ... arm_rr=2.0 (gate-at-arm only; market-entry floor 2.0 unchanged)'),R:R 1.76 at exec price 29193.25 (risk 48.75 reward 86.00) < floor 2.00; snapshot R:R was 2.55,29193.25,29242.0,29107.25,yes(market),STOP,-48.75,-97.5,2026-09-03 02:42,2026-09-03 08:30,STOP,-48.75,-97.5,2026-09-03 02:42,2026-09-03 17:00,2026-09-03 02:12,26942,"sqlite3 ""file:/home/hoang/nofx/data/data.db?mode=ro"" ""SELECT id,datetime(timestamp,'-5 hours'),risk_check_error,decision_json FROM decision_records WHERE risk_check_error LIKE 'entry_gate%' ORDER BY timestamp"""
2026-09-03 02:18:29,decision,LONDON,,min_sl (validateDecision A3),MIN_SL_ATR_MULT,1.5 (READ from the boot line 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' ; raised at the 09-02 07:49:06 CT boot rev 4175e0b62de7 ; env MIN_SL_ATR_MULT unset),dist=30.2 pts vs 1.5x ATR5m 23.0 = 34.5; R:R 2.0 PASSED first,29198.5,29228.75,29138.0,yes(market),STOP,-30.25,-60.5,2026-09-03 02:40,2026-09-03 08:30,STOP,-30.25,-60.5,2026-09-03 02:40,2026-09-03 17:00,2026-09-03 02:18,26945,"grep -n ""MIN-SL REJECT"" /home/hoang/nofx/data/nofx_2026-09-02.log /home/hoang/nofx/data/nofx_2026-09-03.log | prices from the paired 218 R:R eval 219 line at the same second (kernel/engine_position.go:187)"
2026-09-03 02:23:14,decision,LONDON,,min_sl (validateDecision A3),MIN_SL_ATR_MULT,1.5 (READ from the boot line 'min-sl guard: atr_mult=1.5 level_clearance=2tick(s)' ; raised at the 09-02 07:49:06 CT boot rev 4175e0b62de7 ; env MIN_SL_ATR_MULT unset),dist=21.5 pts vs 1.5x ATR5m 22.4 = 33.6; R:R 2.08 PASSED first,29207.25,29228.75,29162.5,yes(market),STOP,-21.5,-43.0,2026-09-03 02:40,2026-09-03 08:30,STOP,-21.5,-43.0,2026-09-03 02:40,2026-09-03 17:00,2026-09-03 02:23,26947,"grep -n ""MIN-SL REJECT"" /home/hoang/nofx/data/nofx_2026-09-02.log /home/hoang/nofx/data/nofx_2026-09-03.log | prices from the paired 218 R:R eval 219 line at the same second (kernel/engine_position.go:187)"
